,Unnamed: 0,title,quantity,price
0,0,Cerveza Abadía tostada Hélécine,Botellín ,"1,25 €"
1,1,Cerveza abadía Tongerlo,Botellín ,"1,00 €"
2,2,Cerveza abadía Tongerlo,4 botellines x 330 ml,"4,00 €"
3,3,Filetes de abadejo de Alaska sin piel Hacendado ultracongelados,Paquete ,"4,95 €"
4,4,Vino blanco verdejo D.O Rueda Abadía Mantrús,Botella ,"2,20 €"
5,5,Vino tinto D.O Ribera del Duero Abadía Mantrús crianza,Botella ,"3,80 €"
6,6,Vino tinto D.O Ribera del Duero Abadía Mantrús roble,Botella ,"3,15 €"
7,7,Vino tinto D.O Costers del Segre Raimat Abadía tempranillo,Botella ,"6,99 €"
8,8,Gel reductor abdomen 9.60 hombre,Bote ,"3,70 €"
9,9,Caldo de pollo Hacendado,2 bricks x 1 L,"1,64 €"
10,10,Caldo casero de pollo Gallina Blanca,Brick ,"1,80 €"
11,11,Caldo de verduras Hacendado,Brick ,"1,00 €"
12,12,Caldo para paella de marisco o fideuá Hacendado con sofrito,Brick ,"1,95 €"
13,13,Caldo de pescado Hacendado,2 bricks x 1 L,"2,20 €"
14,14,Caldo de cocido Hacendado,Brick ,"0,90 €"
15,15,Caldo de pollo en pastillas,Caja ,"0,82 €"
16,16,Caldo de verduras en pastillas,Caja ,"0,44 €"
17,17,Caldo de pescado Hacendado,Brick ,"1,20 €"
18,18,Caldo de pollo Avecrem en pastillas,Caja ,"2,60 €"
19,19,Caldo casero de carne Gallina Blanca,Brick ,"1,80 €"
20,20,Caldo de carne Hacendado en pastillas,Caja ,"0,82 €"
21,21,Caldo de pescado Hacendado en pastillas,Caja ,"0,50 €"
22,22,Caldo de pollo Hacendado,Brick ,"0,90 €"
23,23,Caldo para paella de carne Hacendado con sofrito,Brick ,"1,95 €"
24,24,Caldo de pollo Hacendado bajo en sal,Brick ,"1,05 €"
25,25,Caldo casero de escudella Gallina Blanca,Brick ,"1,80 €"
26,26,Caldo para fideuá o arroz negro Hacendado con sofrito,Brick ,"1,95 €"
27,27,Caldo de pollo reducido en sal Hacendado en pastillas,Caja ,"0,70 €"
28,28,Doble caldo sabor clásico carne Knorr en pastillas,Caja ,"1,25 €"
29,29,Caracoles en caldo Helifrusa,Bandeja ,"3,00 €"
30,30,Cera depilatoria natural de abeja Veet piel normal,Caja ,"8,25 €"
31,31,Sopa de pollo Gallina Blanca con fideos finos,Sobre ,"0,55 €"
32,32,Sopa de miso,Paquete ,"1,45 €"
33,33,Tallarines a la parmesana Hacendado,Sobre ,"1,10 €"
34,34,Sopa de ave Gallina Blanca con fideos,Sobre ,"0,55 €"
35,35,Sopa de cebolla Hacendado,2 sobres x 50 g,"0,75 €"
36,36,Sopa de pollo Hacendado con fideos finos,2 sobres x 71 g,"0,75 €"
37,37,Sopa maravilla Hacendado,2 sobres x 91 g,"0,70 €"
38,38,Tallarines a la carbonara Hacendado,Sobre ,"1,10 €"
39,39,Sopa de ave Hacendado con fideos,2 sobres x 82 g,"0,70 €"
40,40,Codornices abiertas,Bandeja ,"2,61 €"
41,41,Salmón abierto en libro sin cabeza y sin espina,Pieza ,"26,85 €"
42,42,Lubina abierta en libro sin cabeza y sin espina,Pieza ,"3,13 €"
43,43,Lubina abierta a la espalda con espinas y con cabeza,Pieza ,"3,13 €"
44,44,Dorada abierta en libro sin cabeza y sin espina,Pieza ,"3,82 €"
45,45,Dorada abierta a la espalda con espinas y con cabeza,Pieza ,"3,82 €"
46,46,Rape abierto en libro sin espina,Pieza ,"19,90 €"
47,47,Bacalao abierto en libro sin cabeza y sin espina,Pieza ,"13,86 €"
48,48,Trucha abierta en libro sin cabeza y sin espina,Pieza ,"3,25 €"
49,49,Trucha abierta en libro con cabeza,Pieza ,"3,25 €"
50,50,Salmón media pieza abierto en libro sin cabeza y sin espina,1/2 Pieza ,"14,32 €"
51,51,Bacalao media pieza abierto en libro sin cabeza y sin espina,1/2 Pieza ,"7,43 €"
52,52,Abrillantador lavavajillas líquido,Botella ,"1,25 €"
53,53,Abrillantador lavavajillas Finish líquido,Botella ,"4,45 €"
54,54,Abrillantador suelos Bosque Verde,Botella ,"2,05 €"
55,55,Abrillantador muebles con aceites nutrientes Bosque Verde,Botella ,"3,30 €"
56,56,Abrillantador multiusos Bosque Verde,Spray ,"1,49 €"
57,57,Aceite abrillantador acero inoxidable y aluminio Bosque Verde,Botella ,"3,79 €"
58,58,Crema abrillantadora acero inoxidable y aluminio Bosque Verde,Botella ,"2,25 €"
59,59,Plataforma mopa grande abrillantadora Bosque Verde,Paquete ,"2,70 €"
60,60,Absorbeolores Bosque Verde Marsella,1 ud.,"0,60 €"
61,61,Absorbeolores Bosque Verde flores blancas,1 ud.,"0,60 €"
62,62,Absorbeolores Bosque Verde lavanda,1 ud.,"0,60 €"
63,63,Absorbeolores Bosque Verde cítrico,1 ud.,"0,60 €"
64,64,Absorbeolores en gel para frigorífico Bosque Verde,Paquete ,"1,80 €"
65,65,Lecho absorbente para gato Single antibacterias,Paquete ,"3,50 €"
66,66,Discos absorbentes lactancia Deliplus,Caja ,"5,95 €"
67,67,Vodka Absolut,Botella ,"12,65 €"
68,68,Fregona microfibra absorbente Bosque Verde,Paquete ,"2,95 €"
69,69,Papel hogar absorbente Bosque Verde,Paquete ,"2,50 €"
70,70,Fregona microfibra absorbente Bosque Verde,Paquete ,"1,60 €"
71,71,Papel hogar compacto absorbente Bosque Verde,Paquete ,"1,78 €"
72,72,Papel hogar compacto absorbente Bosque Verde,Paquete ,"3,55 €"
73,73,Papel cocina gigante absorbente Bosque Verde,Paquete ,"2,60 €"
74,74,Fregona resistente y absorbente Bosque Verde,Paquete ,"1,75 €"
75,75,Papel hogar super absorbente Bosque Verde,Paquete ,"2,10 €"
76,76,Servilleta papel decorada suavidad y absorción Bosque Verde,Paquete ,"1,67 €"
77,77,Recambio antihumedad Bosque Verde con aromas cítricos,Caja ,"2,10 €"
78,78,Ambientador eliminador de olores Bosque Verde ropa limpia,Botella ,"1,20 €"
79,79,Set antihumedad Bosque Verde con aromas cítricos,1 ud.,"3,35 €"
80,80,Tarta de la abuela Hacendado congelada,10 raciones (825 g),"7,50 €"
81,81,Tarta de la abuela Hacendado congelada,"20 raciones (1,9 kg)","11,50 €"
82,82,Bebida aromatizada a base de vino para cocinar Abuela Carola,Botella ,"1,99 €"
83,83,Insecticida ácaros Bosque Verde especial tejidos,Spray ,"2,80 €"
84,84,Dentífrico acción total Deliplus con flúor,Tubo ,"0,95 €"
85,85,Cápsulas acción memoria Deliplus,Caja ,"3,10 €"
86,86,Dentífrico triple acción Colgate con flúor,Tubo ,"1,75 €"
87,87,Enjuague bucal acción total Deliplus menta fresca,Botella ,"1,35 €"
88,88,Corrector fluido acción global Deliplus 01,1 ud.,"4,00 €"
89,89,Corrector fluido acción global Deliplus 02,1 ud.,"4,00 €"
90,90,Maquillaje fluido Deliplus acción global 03,30 ml,"5,50 €"
91,91,Maquillaje fluido Deliplus acción global 04,30 ml,"5,50 €"
92,92,Maquillaje fluido Deliplus acción global 02,30 ml,"5,50 €"
93,93,Maquillaje fluido Deliplus acción global 01,30 ml,"5,50 €"
94,94,Toallitas lavadora Bosque Verde acción 2 en 1,Paquete ,"1,95 €"
95,95,Esponja de baño doble acción suave masaje Deliplus,Paquete ,"0,99 €"
96,96,Eau de toilette hombre 9.60 Sport water acción,Frasco ,"3,90 €"
97,97,Crema facial anti-edad integral L'Oréal men expert Vita lift 5 acciones,Bote ,"10,95 €"
98,98,Gasas para bebé no tejidas Deliplus,Paquete ,"1,97 €"
99,99,"Solución fisiológica salina 0,9 % Deliplus",Caja ,"3,23 €"
100,100,Esponja anatómica para bebés Deliplus,Paquete ,"0,80 €"
101,101,Polvos de talco bebé Deliplus,Bote ,"1,25 €"
102,102,Esponja marina infantil Deliplus,Caja ,"3,75 €"
104,104,Pincel coloración cabello Deliplus,1 ud.,"1,25 €"
105,105,Bol coloración cabello Deliplus,1 ud.,"1,00 €"
106,106,Quitamanchas de tinte capilar Azalea,Bote ,"2,50 €"
107,107,Set bebé cepillo y peine azul +0 meses Deliplus,Paquete ,"2,40 €"
108,108,Recambios recarga aspirador nasal anatómico Deliplus,Paquete ,"3,15 €"
109,109,Set bebé cepillo y peine rosa +0 meses Deliplus,Paquete ,"2,40 €"
110,110,Tijeras infantiles anatómicas +0 meses Deliplus,Paquete ,"2,50 €"
111,111,Aspirador nasal anatómico +0 meses Deliplus,Paquete ,"3,95 €"
112,112,Espuma cabello Azalea color plata,Spray ,"3,40 €"
113,113,Estuche de bebé para rellenar Alcograf,Caja ,"1,50 €"
114,114,Gomas negras Deliplus,1 ud.,"0,95 €"
115,115,Toalla turbante seca pelo microfibra Deliplus,Caja ,"2,95 €"
116,116,Gomas varios colores Deliplus,6 ud.,"0,95 €"
117,117,Gorro de ducha Deliplus,Paquete ,"2,50 €"
118,118,Pinza cabello varios colores Deliplus mediana,1 ud.,"1,00 €"
119,119,Pinza cabello varios colores Deliplus grande,1 ud.,"1,75 €"
120,120,Pinza cabello peluquería Deliplus,Paquete ,"1,90 €"
121,121,Coleteros varios colores Deliplus,5 ud.,"1,95 €"
122,122,Clip negro Deliplus,24 ud.,"1,50 €"
123,123,Turbante varios colores Deliplus,1 ud.,"1,75 €"
124,124,Clip rubio Deliplus,24 ud.,"1,50 €"
125,125,Ranas varios colores Deliplus,6 ud.,"1,00 €"
126,126,Coleteros infantiles varios colores Deliplus,5 ud.,"1,95 €"
127,127,Coletero para recogido negro Deliplus,1 ud.,"1,60 €"
128,128,Horquilla rubia Deliplus,Paquete ,"1,50 €"
129,129,Horquilla negra Deliplus,Paquete ,"1,50 €"
130,130,Rulo 20 mm Deliplus,Paquete ,"2,50 €"
131,131,Rulo 28 mm Deliplus,Paquete ,"2,75 €"
132,132,Redecilla castaña Deliplus,Paquete ,"1,50 €"
133,133,Coletero para recogido castaño Deliplus,1 ud.,"1,60 €"
134,134,Redecilla negra Deliplus,Paquete ,"1,50 €"
135,135,Redecilla rubia Deliplus,Paquete ,"1,50 €"
136,136,Rulo 40 mm Deliplus,Paquete ,"2,80 €"
137,137,Peine grande Deliplus,Paquete ,"1,00 €"
138,138,Peine gel Deliplus,Paquete ,"1,25 €"
139,139,Cepillo cabello neumático Deliplus,1 ud.,"1,50 €"
140,140,Cepillo cabello neumático y esqueleto Deliplus,2 ud.,"1,75 €"
141,141,Peine afro Deliplus,1 ud.,"1,50 €"
142,142,Cepillo cabello antitirones infantil Frozen II,Paquete ,"5,50 €"
143,143,Cepillo cabello esqueleto Deliplus,1 ud.,"1,50 €"
144,144,Peine lendrera Deliplus,Paquete ,"2,00 €"
145,145,Cepillo cabello térmico iónico Deliplus 44 mm,1 ud.,"3,00 €"
146,146,Cepillo cabello de madera Deliplus,1 ud.,"2,50 €"
147,147,Cepillo cabello térmico iónico Deliplus 35 mm,1 ud.,"3,00 €"
148,148,Cepillo cabello térmico iónico Deliplus 25 mm,1 ud.,"3,00 €"
149,149,"Aceite de oliva 0,4º Hacendado",Botella ,"2,50 €"
150,150,"Aceite de girasol refinado 0,2º Hacendado",Botella ,"0,99 €"
151,151,Aceite de oliva virgen extra Hacendado,Botella ,"3,50 €"
152,152,Aceitunas negras Hacendado sin hueso,Bote ,"0,85 €"
153,153,Aceite de oliva virgen extra Hacendado,Garrafa ,"9,50 €"
154,154,"Aceite de oliva 0,4º Hacendado",Garrafa ,"11,00 €"
155,155,Aceitunas manzanilla rellenas de anchoa Hacendado,6 botes x 50 g,"2,15 €"
156,156,Aceitunas rellenas de anchoa Hacendado reducido en sal,Bote ,"0,84 €"
157,157,Aceite de oliva virgen extra Hacendado Gran Selección,Botella ,"3,69 €"
158,158,Aceitunas manzanilla rellenas de anchoa Hacendado,3 botes x 150 g,"1,98 €"
159,159,"Aceite de girasol refinado 0,2º Hacendado",Garrafa ,"4,79 €"
160,160,Acelgas cortadas,Paquete ,"1,00 €"
161,161,Aceitunas manzanilla rellenas de anchoa Hacendado reducidas en sal,3 botes x 50 g,"1,80 €"
162,162,Aceitunas estilo caseras Hacendado partidas aliñadas,Tarro ,"2,35 €"
163,163,Aceitunas negras cacereñas Hacendado a rodajas,3 botes x 50 g,"1,50 €"
164,164,Aceite de oliva 1º Hacendado,Botella ,"2,50 €"
165,165,Aceitunas manzanilla Hacendado sin hueso,3 paquetes x 75 g,"1,30 €"
166,166,Aceitunas manzanilla Hacendado sin hueso,Tarro ,"1,60 €"
167,167,Aceitunas chupadedos Huerta de Barros partidas aliñadas con hueso,Tarro ,"2,70 €"
168,168,Aceitunas rellenas de anchoa Hacendado,Bote ,"3,10 €"
169,169,Aceite de oliva virgen extra Hacendado,Spray ,"2,15 €"
170,170,Acelgas,Paquete ,"1,80 €"
171,171,Aceitunas rellenas de anchoa Hacendado,Bote ,"1,15 €"
172,172,Aceitunas negras naturales de Aragón Hacendado,Tarro ,"1,70 €"
173,173,Aceitunas gazpacha Hacendado con hueso,Tarro ,"2,10 €"
174,174,Aceite de oliva 1º Hacendado,Garrafa ,"11,00 €"
